video_id,channel_id,duration(sec),domain,link,has_persian,has_dari,has_iranian,has_pashto
jdJjuFB1f9g,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=jdJjuFB1f9g,True,True,False,False
zDOOUmEOjpY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=zDOOUmEOjpY,True,True,False,False
vJFXyVOwMvI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=vJFXyVOwMvI,True,True,False,False
cD3DbbDP4c0,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=cD3DbbDP4c0,True,True,False,False
PaJ3eyapq00,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=PaJ3eyapq00,True,True,False,False
HkVeV0Ou_CQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=HkVeV0Ou_CQ,True,True,False,False
riRu0bSKyec,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=riRu0bSKyec,True,True,False,False
0XA4oI8AQac,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=0XA4oI8AQac,True,True,False,False
rJ1tN5FpXPY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=rJ1tN5FpXPY,True,True,False,False
bhRJ6wL-UMI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bhRJ6wL-UMI,True,True,False,False
GoYy31Y7Rvk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=GoYy31Y7Rvk,True,True,False,False
1fi38exeonA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=1fi38exeonA,True,True,False,False
vBTM8ytkkPQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=vBTM8ytkkPQ,True,True,False,False
N3II1cdRiMw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=N3II1cdRiMw,True,True,False,False
HBap0uEfJWI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=HBap0uEfJWI,True,True,False,False
RLDi9ARr1U4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=RLDi9ARr1U4,True,True,False,False
cOfkkawb0Hc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=cOfkkawb0Hc,True,True,False,False
GPzlJbkUkic,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=GPzlJbkUkic,True,True,False,False
PWpk7GK8k2s,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=PWpk7GK8k2s,True,True,False,False
bCqAuGwmfj4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bCqAuGwmfj4,True,True,False,False
WAFUOdFoASM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=WAFUOdFoASM,True,True,False,False
V1T9EFOdYKE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=V1T9EFOdYKE,True,True,False,False
ckv4F1TelVg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ckv4F1TelVg,True,True,False,False
SIKKFsVxuCE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=SIKKFsVxuCE,True,True,False,False
-_GwjtnKi4c,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=-_GwjtnKi4c,True,True,False,False
5P1NocnCFFk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=5P1NocnCFFk,True,True,False,False
x2QL-BA24ws,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=x2QL-BA24ws,True,True,False,False
NH2OPtJpLxk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=NH2OPtJpLxk,True,True,False,False
If-pC9_LaC4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=If-pC9_LaC4,True,True,False,False
0EC5c4XV--M,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=0EC5c4XV--M,True,True,False,False
1kuFj1R09PA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=1kuFj1R09PA,True,True,False,False
IvcROVo_Lxw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=IvcROVo_Lxw,True,True,False,False
Z1i8zVfQdXg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Z1i8zVfQdXg,True,True,False,False
iXbsiVOPD5U,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=iXbsiVOPD5U,True,True,False,False
Zrl2vvgGrRc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Zrl2vvgGrRc,True,True,False,False
x8rQlzzqs3Y,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=x8rQlzzqs3Y,True,True,False,False
i0FnrI-Tcyg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=i0FnrI-Tcyg,True,True,False,False
Fz_6ygjO-yU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Fz_6ygjO-yU,True,True,False,False
fj3PIDMpRT4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=fj3PIDMpRT4,True,True,False,False
bRp0DFzdsSM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bRp0DFzdsSM,True,True,False,False
euPD3Am2hsU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=euPD3Am2hsU,True,True,False,False
3zGds6wzivM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=3zGds6wzivM,True,True,False,False
s1SJxhMUOlE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=s1SJxhMUOlE,True,True,False,False
JChUIA5Nh98,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=JChUIA5Nh98,True,True,False,False
NXssqe7iqaw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=NXssqe7iqaw,True,True,False,False
6o3FZLs_fio,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=6o3FZLs_fio,True,True,False,False
I8MP9e8-iNk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=I8MP9e8-iNk,True,True,False,False
gsojCcAV8JQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=gsojCcAV8JQ,True,True,False,False
6xhKQA04pF4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=6xhKQA04pF4,True,True,False,False
SFf0cK7q3Cg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=SFf0cK7q3Cg,True,True,False,False
BJ8T_Ps7r3c,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=BJ8T_Ps7r3c,True,True,False,False
yMjD8RzvtKQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=yMjD8RzvtKQ,True,True,False,False
ohzBrUX7FJs,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ohzBrUX7FJs,True,True,False,False
KqRbwCzt0dE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=KqRbwCzt0dE,True,True,False,False
rf6NzxJzzqg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=rf6NzxJzzqg,True,True,False,False
67GJMKjpm90,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=67GJMKjpm90,True,True,False,False
jZCM2sqcTNA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=jZCM2sqcTNA,True,True,False,False
I6m1W5X-BKQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=I6m1W5X-BKQ,True,True,False,False
Wayzc3sWB2k,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Wayzc3sWB2k,True,True,False,False
yruUbMw77zo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=yruUbMw77zo,True,True,False,False
rgNv3zBCpdM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=rgNv3zBCpdM,True,True,False,False
DqSwwZ75jJ4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=DqSwwZ75jJ4,True,True,False,False
m1e7t_P_79o,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=m1e7t_P_79o,True,True,False,False
JIaQEkVKVcU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=JIaQEkVKVcU,True,True,False,False
3nb-uggoPSE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=3nb-uggoPSE,True,True,False,False
I3ul6lxqKv8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=I3ul6lxqKv8,True,True,False,False
iqLfzo3kz2Y,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=iqLfzo3kz2Y,True,True,False,False
V2RTuMV1Bfc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=V2RTuMV1Bfc,True,True,False,False
DHvBdeRjUbI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=DHvBdeRjUbI,True,True,False,False
HfQ6zOoKu2k,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=HfQ6zOoKu2k,True,True,False,False
oDqGYP-du7Y,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=oDqGYP-du7Y,True,True,False,False
M99lXPu10uo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=M99lXPu10uo,True,True,False,False
Xe9Zp3wneQY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Xe9Zp3wneQY,True,True,False,False
6iGV5wbF0Kw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=6iGV5wbF0Kw,True,True,False,False
1PfGz9s3BMU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=1PfGz9s3BMU,True,True,False,False
CbEdDzyzjUc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=CbEdDzyzjUc,True,True,False,False
y4PQyCAlPGc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=y4PQyCAlPGc,True,True,False,False
psfYSNYFDCM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=psfYSNYFDCM,True,True,False,False
DD6rZS2XrQU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=DD6rZS2XrQU,True,True,False,False
A50Qpif3LTI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=A50Qpif3LTI,True,True,False,False
XMSIKbPAaMY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=XMSIKbPAaMY,True,True,False,False
jKmRV_IkEyg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=jKmRV_IkEyg,True,True,False,False
TGBWriW14v0,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=TGBWriW14v0,True,True,False,False
WmchYT3_Z9A,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=WmchYT3_Z9A,True,True,False,False
8hq8BhDyfTY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=8hq8BhDyfTY,True,True,False,False
B0NQc5jdz8A,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=B0NQc5jdz8A,True,True,False,False
c71fRvmv9Es,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=c71fRvmv9Es,True,True,False,False
XQiY95ersCo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=XQiY95ersCo,True,True,False,False
SROekZXbzD8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=SROekZXbzD8,True,True,False,False
A-LZaUV1Qdo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=A-LZaUV1Qdo,True,True,False,False
S9IXKu9pGl8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=S9IXKu9pGl8,True,True,False,False
N-lJd52D0Fo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=N-lJd52D0Fo,True,True,False,False
m5ouJBEo-_g,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=m5ouJBEo-_g,True,True,False,False
